SimInvent FFB Yoke - PWM vs torque bench measurement;;;;;;;;;
Semicolon-separated, decimal comma (SV);;;;;;;;;
;;;;;;;;;
Date;;;;;;;;;
Measured by;;;;;;;;;
Scale (make / resolution);;;;;;;;;
PSU rating (A);10;;;;;;;;
Supply nominal (V);24;;;;;;;;
Ambient (C);;;;;;;;;
;;;;;;;;;
REQUIRED SETUP - all of these, or the numbers mean nothing;;;;;;;;;
defines.h;PWM_KNEE_FORCE 0;;;;;;;;
defines.h;ENABLE_FRICTION_FF commented out;;;;;;;;
defines.h;ENABLE_SPEED_LIMITER stays off;;;;;;;;
Yoke Tool;Motor Start PWM = 0 (both axes);;;;;;;;
Yoke Tool;Roll Gain = 100 and Pitch Gain = 100 (defaults are 70 / 45);;;;;;;;
FFBTestTool;Background spring UNTICKED (defaults to on at 8000);;;;;;;;
FFBTestTool;Constant Force, duration infinite;;;;;;;;
Position;Mid-travel, clear of the soft-lock cushion and endstops;;;;;;;;
Method;Tap the frame and let it settle before each reading;;;;;;;;
;;;;;;;;;
GEOMETRY;;;;;;;;;
Roll (X);12T to 56T = 4,67:1, handle lever 98 mm;;;;;;;;
Roll conversion;Nm at motor = kg * 9,81 * 0,098 / 4,67;;;;;;;;
Pitch (Y);HTD-5M 14T driving pulley, r = 11,14 mm, carriage direct (no lever);;;;;;;;
Pitch conversion;Nm at motor = kg * 9,81 * 0,01114;;;;;;;;
;;;;;;;;;
WARNING;Stalled 775 at high duty draws tens of amps. Keep each point 1-2 s.;;;;;;;;
WARNING;Stop at magnitude 7000 on the first pass. Add 8500 / 10000 only if the curve is already bending.;;;;;;;;
;;;;;;;;;
Magnitude;PWM;Duty %;Roll 90 deg (kg);Roll 270 deg (kg);Roll V supply;Pitch 0 deg (kg);Pitch 180 deg (kg);Pitch V supply;Notes
0;0;0;0;0;24,1;0;;24,1;
200;5;2;0;;24,1;;;24,1;
400;10;3,9;0;;24,1;;;24,1;
600;15;5,9;0;;24,1;;;24,1;
800;20;7,8;0;;24,1;;0;24,1;
1000;25;9,8;0,09;;24,1;;0;24,1;
1200;30;11,8;0,1;;24,1;;0,05;24,1;
1400;35;13,7;0,15;0,14;24,1;;0,17;24,1;
1600;40;15,7;0,35;;24;;0,31;24;
2000;51;20;0,45;;23,9;;0,62;23,9;
2500;63;24,7;0,77;;23,8;;0,9;23,9;
3000;76;29,8;0,97;;23,6;;1,14;23,8;
4000;102;40;1,24;;23,2;;1,9;23,5;
5000;127;49,8;1,41;1,34;22,8;;2,3;23,3;
6000;153;60;1,93;;22,4;;2,7;22,8;
7000;178;69,8;1,74;1,55;22;;2,45;16;
8500;216;84,7;1,55;;12,5;;2,09;11,4;
10000;255;100;1,53;;12,2;;2,08;11;
